F_code,product,amount,calories,protein,fat,carbohydrate,sugars,natrium,cholesterol,fatty_acid,trans_fatty_acid
SGJK0400,칸츄리콘(콘버터맛),30,185,1,12,18,2,95,0,0,0
DACK0500,칸타타 땅콩크림라떼,275,130,3,2.7,23,21,215,10,1.5,0
DACK0501,칸타타 라떼홀릭 카페라떼,270,145,4.5,4,23,23,210,13,2.5,0
DACK0502,칸타타 스위트 아메리카노,275,50,0,0,12,12,130,0,0,0
DACK0503,칸타타 카라멜마키아토,275,120,3,2,23,23,190,6.5,1.2,0
DACK0504,칸타타 콘트라베이스 콜드브루 라떼,200,190,4,3.3,36,34,285,15,2,0
DACK0505,칸타타 콘트라베이스 콜드브루 블랙,200,20,1,0,4,4,95,0,0,0
DACK0506,칸타타 콘트라베이스 콜드브루 스위트블랙,200,80,1,0,19,19,123,0,0,0
DACK0507,칸타타 콜드브루 흑당라떼,275,165,3,1.7,34,34,160,6,1,0
DACK0508,칸타타 프리미엄 라떼,275,122,2,2,24,21,155,5,1,0
DACK0600,커핑로드 모카라떼,300,220,5,8,32,32,240,40,6,0.5
DACK0601,커핑로드 에스프레소라떼,300,195,4,7,29,29,160,40,5,0.5
DACK0602,커핑로드 카페봉봉,300,230,5,8,34,34,210,40,6,0.5
DTSK0700,컨피던스,250,100,0,0,24,24,85,0,0,0
RCPB0206,컵 까르보불닭볶음면,80,355,5,16,48,5,910,0,8,0
RCPB0207,컵 불닭볶음면,70,280,6,10,42,6,630,0,5,0
RCPS0602,컵 삼양라면 오리지널,65,295,5,12,42,2,1160,0,6,0
RCPK0800,컵누들 매콤한맛,37.8,120,1,0,29,3,890,0,0,0
RCPK0801,컵누들 우동맛,38.1,120,2,0.5,27,3,890,0,0,0
DHDK0900,코코리치 포도,240,75,0,0,19,16,45,0,0,0
RCPK1000,콕콕콕 라면볶이,120,465,8,13,79,13,900,0,7,0
RCPK1001,콕콕콕 스파게티,120,475,9,14,78,9,780,0,7,0
