F_code,product,section,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,raw9,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,raw21,raw22,raw23,raw24,raw25,raw26,raw27,raw28,raw29,raw30,raw31,raw32,raw33,raw34,raw35,raw36,raw37,raw38,raw39,raw40,raw41,raw42,raw43,raw44,raw45,raw46,raw47
SBSB0701,흑당 빠다코코낫,전체,밀가루 ,설탕,쇼트닝,식물성유지,흑당시럽,가공연유,흑설탕,가당볶음코코넛분말,기타가공품,전분(옥수수전분),정제소금,코코아분말,산도조절제,버터,산도조절제,합성향료,산성아황산나트륨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJG0100,감자깡,전체,소맥분,증숙감자,옥수수전분,미강유,팜유,비프맛베이스조미분말,바베큐맛조미분말,양파,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJG0500,고구마깡,전체,밀가루,증숙고구마,짭짤한맛조미분말,미강유,팜유,백설탕,프락토올리고당,검정깨(흑임자),정제염,고구마향,옥수수전분,정제수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJG1600,꿀꽈배기,전체,곡류가공품(꿀꽈배기 반제품),미강유(현미유),팜유,백설탕,벌꿀(아카시아꿀),감초농축액,현미조청,정제소금,벌꿀향,소스류(발효얼음골사과농축액),합성향료(사과향),정제수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJD0100,닭다리후라이드치킨,전체,소맥분,기타전분(옥수수전분),증숙감자,식육추출가공품(치킨추출농축액NS),감자분말,정제소금(정제염),기타가공품(빵가루),채종유(유채유또는카놀라유)(카놀라유),팜유,기타가공품(후라이드치킨시즈닝),식품첨가물혼합제제(타피오카산화전분(혼합제제)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNS0100,매운새우깡,전체,쉬림프크래커,미강유,팜유,매운맛시즈닝,풍미유(매콤한풍미유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJB0400,바나나킥,전체,곡류가공품(콘밀),당류(정백당),미강유(현미유)(미강유),과채가공품(바나나분말),팜유류(팜유),유가공품(탈지분유),알가공품(난백분),정제소금(정제염),식품첨가물혼합제제(바나나향),식품첨가물혼합제제(분말바나나향),식품첨가물혼합제제(바나나컴파운드향),천연향신료(강황분말),정제수(정제수),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJB1200,벌집핏자,전체,소맥분,소스류(바베큐시즈닝페이스트),기타가공품(복합비프맛조미분말),팜유,미강유,기타가공품(피자시즈닝분말),옥수수전분,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNS0101,새우깡,전체,곡류가공품(새우깡반제품-1),미강유,팜유,향미유(새우풍미유),기타가공품(염미시즈닝-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJS0102,쌀새우깡,전체,곡류가공품(쌀새우깡반제품),미강유,팜유,향미유(새우풍미유),기타가공품(마요네즈와사비맛조미분),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
